,gene_name,second_element,mapped_value
0,ADA2,azurophil granule lumen,Cellular Component
1,ADA2,extracellular region,Cellular Component
2,ADA2,extracellular space,Cellular Component
3,ADA2,2'-deoxyadenosine deaminase activity,Molecular Function
4,ADA2,adenosine deaminase activity,Molecular Function
5,ADA2,adenosine receptor binding,Molecular Function
6,ADA2,growth factor activity,Molecular Function
7,ADA2,heparin binding,Molecular Function
8,ADA2,protein homodimerization activity,Molecular Function
9,ADA2,proteoglycan binding,Molecular Function
10,ADA2,zinc ion binding,Molecular Function
11,ADA2,adenosine catabolic process,Biological Process
12,ADA2,inosine biosynthetic process,Biological Process
